"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"true","fullscreen","0","2590","0.0-0.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2591","0.0-1.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","psychophysics","2","8160","0.0-2.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","5554","key"," "," ","16.659520958083835","500","250","inst","","","","","","",""
"","psychophysics","3","9166","0.0-3.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","1003","key"," "," ","16.697627118644064","500","250","inst","","","","","","",""
"","psychophysics","4","20052","0.0-4.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","10883","key"," "," ","16.696958525345625","500","250","instMl","234","-39","-16","-14","-24","",""
"","psychophysics","5","28838","0.0-5.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","8786","key"," "," ","16.69695238095238","500","250","instMl","192","-32","27","25","-21","",""
"","psychophysics","6","31280","0.0-6.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2441","key"," "," ","16.696827586206904","500","250","inst","","","","","","",""
"","psychophysics","7","36108","0.0-7.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4825","key"," "," ","16.697024221453294","500","250","ml","240","16","-26","-10","-21","",""
"","psychophysics","8","39344","0.0-8.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3237","key"," "," ","16.696875000000016","500","250","ml","208","-28","17","-19","-24","",""
"","psychophysics","9","45238","0.0-9.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","5892","key"," "," ","16.69687500000001","500","250","ml","158","28","-17","-21","-18","",""
"","psychophysics","10","48197","0.0-10.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2957","key"," "," ","16.69706214689268","500","250","ml","150","-25","-30","12","-19","",""
"","psychophysics","11","54315","0.0-11.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","6119","key"," "," ","16.696931506849328","500","250","ml","194","47","-9","27","-19","",""
"","psychophysics","12","56693","0.0-12.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2374","key"," "," ","16.697304964539004","500","250","ml","174","-13","-13","29","-23","",""
"","psychophysics","13","60438","0.0-13.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3744","key"," "," ","16.69669642857145","500","250","ml","236","6","-21","11","-22","",""
"","psychophysics","14","64345","0.0-14.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3906","key"," "," ","16.696995708154514","500","250","ml","206","10","-10","15","-20","",""
"","psychophysics","15","67407","0.0-15.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3060","key"," "," ","16.696703296703312","500","250","ml","172","9","-19","-26","-12","",""
"","psychophysics","16","70292","0.0-16.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2883","key"," "," ","16.69720930232557","500","250","ml","182","-25","-30","30","-19","",""
"","psychophysics","17","72803","0.0-17.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2503","key"," "," ","16.697181208053724","500","250","ml","230","-12","-7","-20","-22","",""
"","psychophysics","18","76143","0.0-18.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3337","key"," "," ","16.696683417085424","500","250","ml","226","1","2","20","-22","",""
"","psychophysics","19","80422","0.0-19.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4278","key"," "," ","16.696875000000034","500","250","ml","226","49","-13","10","-18","",""
"","psychophysics","20","83990","0.0-20.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3568","key"," "," ","16.69716981132077","500","250","ml","158","-26","5","29","-19","",""
"","psychophysics","21","86367","0.0-21.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2371","key"," "," ","16.69690140845075","500","250","ml","214","-7","-15","0","-22","",""
"","psychophysics","22","87309","0.0-22.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","940","key"," "," ","16.69599999999998","500","250","inst","","","","","","",""
"","psychophysics","23","98490","0.0-23.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","11180","key"," "," ","16.696980568011956","500","250","instPog","","","","","130","130",""
"","psychophysics","24","105964","0.0-24.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","7473","key"," "," ","16.696905829596428","500","250","instPog","","","","","131","130",""
"","psychophysics","25","110127","0.0-25.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4162","key"," "," ","16.696947791164632","500","250","instPog","","","","","146","130",""
"","psychophysics","26","111092","0.0-26.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","964","key"," "," ","16.696428571428573","500","250","inst","","","","","","",""
"","psychophysics","27","119796","0.0-27.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","8704","key"," "," ","16.69700575815739","500","250","pog","","","","","168","160",""
"","psychophysics","28","123731","0.0-28.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3936","key"," "," ","16.696851063829826","500","250","pog","","","","","127","121",""
"","psychophysics","29","128441","0.0-29.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4709","key"," "," ","16.696868327402107","500","250","pog","","","","","187","178",""
"","psychophysics","30","131102","0.0-30.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2658","key"," "," ","16.69721518987344","500","250","pog","","","","","159","149",""
"","psychophysics","31","134378","0.0-31.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","3274","key"," "," ","16.697128205128216","500","250","pog","","","","","149","137",""
"","psychophysics","32","142461","0.0-32.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","8082","key"," "," ","16.696853002070366","500","250","pog","","","","","200","196",""
"","psychophysics","33","144870","0.0-33.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2404","key"," "," ","16.696944444444348","500","250","pog","","","","","154","149",""
"","psychophysics","34","149090","0.0-34.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4219","key"," "," ","16.696892430278936","500","250","pog","","","","","135","131",""
"","psychophysics","35","153223","0.0-35.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4133","key"," "," ","16.696761133603264","500","250","pog","","","","","140","133",""
"","psychophysics","36","163741","0.0-36.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","10517","key"," "," ","16.69701112877581","500","250","pog","","","","","199","191",""
"","psychophysics","37","168830","0.0-37.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","5089","key"," "," ","16.696907894736892","500","250","pog","","","","","125","123",""
"","psychophysics","38","171752","0.0-38.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","2921","key"," "," ","16.69712643678171","500","250","pog","","","","","166","156",""
"","psychophysics","39","178752","0.0-39.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","6999","key"," "," ","16.696937799043077","500","250","pog","","","","","192","185",""
"","psychophysics","40","185368","0.0-40.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","6615","key"," "," ","16.696962025316427","500","250","pog","","","","","172","162",""
"","psychophysics","41","189822","0.0-41.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","4453","key"," "," ","16.696691729323334","500","250","pog","","","","","154","143",""
"","psychophysics","42","191003","0.0-42.0","5484949efdf99b0379939cc6","625756be5d5907f0f74e914b","","","","","1179","key"," "," ","16.697681159420494","500","250","inst","","","","","","",""
